Date,PM2.5
2019-01-1,24.1
2019-01-2,14.8
2019-01-3,14.8
2019-01-4,18.3
2019-01-5,35.2
2019-01-6,27.8
2019-01-7,64.4
2019-01-8,14.8
2019-01-9,18.3
2019-01-10,22.2
2019-01-11,25.9
2019-01-12,18.3
2019-01-13,40.7
2019-01-14,42.4
2019-01-15,16.5
2019-01-16,24.1
2019-01-17,38.9
2019-01-18,14.8
2019-01-19,13
2019-01-20,24.1
2019-01-21,25.9
2019-01-22,16.5
2019-01-23,22.2
2019-01-24,24.1
2019-01-25,11.1
2019-01-26,20.6
2019-01-27,22.2
2019-01-28,18.3
2019-01-29,18.3
2019-01-30,27.8
2019-01-31,20.6
2019-01-,23.9
2019-02-1,33.5
2019-02-2,27.8
2019-02-3,29.4
2019-02-4,27.8
2019-02-5,24.1
2019-02-6,37
2019-02-7,33.5
2019-02-8,27.8
2019-02-9,22.2
2019-02-10,16.5
2019-02-11,29.4
2019-02-12,42.4
2019-02-13,37
2019-02-14,22.2
2019-02-15,20.6
2019-02-16,16.5
2019-02-17,24.1
2019-02-18,35.2
2019-02-19,25.9
2019-02-20,33.5
2019-02-21,24.1
2019-02-22,16.5
2019-02-23,29.4
2019-02-24,18.3
2019-02-25,20.6
2019-02-26,24.1
2019-02-27,24.1
2019-02-28,18.3
2019-02-,26.5
2019-03-1,18.3
2019-03-2,38.9
2019-03-3,29.4
2019-03-4,20.6
2019-03-5,24.1
2019-03-6,22.2
2019-03-7,25.9
2019-03-8,24.1
2019-03-9,22.2
2019-03-10,27.8
2019-03-11,22.2
2019-03-12,24.1
2019-03-13,20.6
2019-03-14,25.9
2019-03-15,25.9
2019-03-16,22.2
2019-03-17,18.3
2019-03-18,29.4
2019-03-19,33.5
2019-03-20,22.2
2019-03-21,20.6
2019-03-22,18.3
2019-03-23,22.2
2019-03-24,22.2
2019-03-25,20.6
2019-03-26,22.2
2019-03-27,29.4
2019-03-28,25.9
2019-03-29,29.4
2019-03-30,22.2
2019-03-31,24.1
2019-03-,24.4
2019-04-1,22.2
2019-04-2,22.2
2019-04-3,24.1
2019-04-4,25.9
2019-04-5,27.8
2019-04-6,24.1
2019-04-7,24.1
2019-04-8,35.2
2019-04-9,27.8
2019-04-10,22.2
2019-04-11,22.2
2019-04-12,24.1
2019-04-13,22.2
2019-04-14,55.4
2019-04-15,61.1
2019-04-16,40.7
2019-04-17,25.9
2019-04-18,24.1
2019-04-19,22.2
2019-04-20,27.8
2019-04-21,25.9
2019-04-22,25.9
2019-04-23,29.4
2019-04-24,27.8
2019-04-25,25.9
2019-04-26,22.2
2019-04-27,25.9
2019-04-28,27.8
2019-04-29,35.2
2019-04-30,29.4
2019-04-,28.6
2019-05-1,25.9
2019-05-2,22.2
2019-05-3,33.5
2019-05-4,22.2
2019-05-5,24.1
2019-05-6,29.4
2019-05-7,33.5
2019-05-8,37
2019-05-9,35.2
2019-05-10,35.2
2019-05-11,33.5
2019-05-12,24.1
2019-05-13,29.4
2019-05-14,27.8
2019-05-15,25.9
2019-05-16,-
2019-05-17,-
2019-05-18,-
2019-05-19,-
2019-05-20,27.8
2019-05-21,29.4
2019-05-22,35.2
2019-05-23,37
2019-05-24,24.1
2019-05-25,24.1
2019-05-26,29.4
2019-05-27,25.9
2019-05-28,33.5
2019-05-29,35.2
2019-05-30,27.8
2019-05-31,27.8
2019-05-,29.5
2019-06-1,27.8
2019-06-2,25.9
2019-06-3,31.7
2019-06-4,29.4
2019-06-5,27.8
2019-06-6,27.8
2019-06-7,24.1
2019-06-8,27.8
2019-06-9,29.4
2019-06-10,29.4
2019-06-11,29.4
2019-06-12,18.3
2019-06-13,33.5
2019-06-14,33.5
2019-06-15,25.9
2019-06-16,22.2
2019-06-17,22.2
2019-06-18,31.7
2019-06-19,24.1
2019-06-20,29.4
2019-06-21,55.4
2019-06-22,35.2
2019-06-23,27.8
2019-06-24,22.2
2019-06-25,27.8
2019-06-26,33.5
2019-06-27,40.7
2019-06-28,37
2019-06-29,37
2019-06-30,37
2019-06-,30.2
2019-07-1,27.8
2019-07-2,22.2
2019-07-3,29.4
2019-07-4,33.5
2019-07-5,37
2019-07-6,27.8
2019-07-7,33.5
2019-07-8,37
2019-07-9,37
2019-07-10,40.7
2019-07-11,40.7
2019-07-12,37
2019-07-13,42.4
2019-07-14,59.4
2019-07-15,46.5
2019-07-16,44.6
2019-07-17,35.2
2019-07-18,29.4
2019-07-19,27.8
2019-07-20,24.1
2019-07-21,27.8
2019-07-22,29.4
2019-07-23,29.4
2019-07-24,37
2019-07-25,46.5
2019-07-26,44.6
2019-07-27,35.2
2019-07-28,40.7
2019-07-29,37
2019-07-30,33.5
2019-07-31,38.9
2019-07-,35.9
2019-08-1,31.7
2019-08-2,29.4
2019-08-3,27.8
2019-08-4,29.4
2019-08-5,29.4
2019-08-6,29.4
2019-08-7,25.9
2019-08-8,25.9
2019-08-9,29.4
2019-08-10,29.4
2019-08-11,33.2
2019-08-12,22.2
2019-08-13,14.8
2019-08-14,16.5
2019-08-15,25.9
2019-08-16,25.9
2019-08-17,22.2
2019-08-18,24.1
2019-08-19,25.9
2019-08-20,29.4
2019-08-21,29.4
2019-08-22,29.4
2019-08-23,29.4
2019-08-24,27.8
2019-08-25,27.8
2019-08-26,25.9
2019-08-27,25.9
2019-08-28,46.5
2019-08-29,29.4
2019-08-30,16.5
2019-08-31,25.9
2019-08-,27.2
2019-09-1,33.5
2019-09-2,14.8
2019-09-3,20.6
2019-09-4,25.9
2019-09-5,22.2
2019-09-6,25.9
2019-09-7,74.1
2019-09-8,18.3
2019-09-9,22.2
2019-09-10,25.9
2019-09-11,27.8
2019-09-12,27.8
2019-09-13,29.4
2019-09-14,37
2019-09-15,33.5
2019-09-16,37
2019-09-17,27.8
2019-09-18,22.2
2019-09-19,22.2
2019-09-20,25.9
2019-09-21,22.2
2019-09-22,24.1
2019-09-23,64.8
2019-09-24,55.4
2019-09-25,37
2019-09-26,37
2019-09-27,29.4
2019-09-28,20.6
2019-09-29,24.1
2019-09-30,25.9
2019-09-,30.5
2019-10-1,33.5
2019-10-2,25.9
2019-10-3,33.5
2019-10-4,25.9
2019-10-5,35.2
2019-10-6,25.9
2019-10-7,24.1
2019-10-8,25.9
2019-10-9,22.2
2019-10-10,18.3
2019-10-11,22.2
2019-10-12,14.8
2019-10-13,11.1
2019-10-14,18.3
2019-10-15,14.8
2019-10-16,14.8
2019-10-17,14.8
2019-10-18,11.1
2019-10-19,25.6
2019-10-20,14.8
2019-10-21,11.1
2019-10-22,11.1
2019-10-23,18.3
2019-10-24,7.6
2019-10-25,7.6
2019-10-26,18.3
2019-10-27,29.4
2019-10-28,25.9
2019-10-29,14.8
2019-10-30,11.1
2019-10-31,11.1
2019-10-,19.3
2019-11-1,7.6
2019-11-2,29.4
2019-11-3,14.8
2019-11-4,14.8
2019-11-5,18.3
2019-11-6,22.2
2019-11-7,14.8
2019-11-8,22.2
2019-11-9,25.9
2019-11-10,14.8
2019-11-11,7.6
2019-11-12,7.6
2019-11-13,7.6
2019-11-14,22.2
2019-11-15,22.2
2019-11-16,22.2
2019-11-17,29.4
2019-11-18,7.6
2019-11-19,14.8
2019-11-20,7.6
2019-11-21,3.5
2019-11-22,14.8
2019-11-23,25.9
2019-11-24,18.3
2019-11-25,18.3
2019-11-26,25.9
2019-11-27,14.8
2019-11-28,11.1
2019-11-29,25.9
2019-11-30,29.4
2019-11-,17.4
2019-12-1,7.6
2019-12-2,22.2
2019-12-3,25.9
2019-12-4,22.2
2019-12-5,25.9
2019-12-6,29.4
2019-12-7,18.3
2019-12-8,22.2
2019-12-9,7.6
2019-12-10,18.3
2019-12-11,29.4
2019-12-12,14.8
2019-12-13,11.1
2019-12-14,11.1
