Date,PM2.5,AQI,AQI-Category
2022-01-1,14.8,,
1,14.8,57.0,Moderate
2022-01-2,25.9,,
2,25.9,80.0,Moderate
2022-01-3,11.1,,
3,11.1,46.0,Good
2022-01-4,14.8,,
4,14.8,57.0,Moderate
2022-01-5,11.1,,
5,11.1,46.0,Good
2022-01-6,22.2,,
6,22.2,72.0,Moderate
2022-01-7,18.3,,
7,18.3,64.0,Moderate
2022-01-8,11.1,,
8,11.1,46.0,Good
2022-01-9,14.8,,
9,14.8,57.0,Moderate
2022-01-10,11.1,,
10,11.1,46.0,Good
2022-01-11,10.7,,
11,10.7,45.0,Good
2022-01-12,7.6,,
12,7.6,32.0,Good
2022-01-13,-,,
13,,,Invalid
2022-01-14,14.8,,
14,14.8,57.0,Moderate
2022-01-15,22.2,,
15,22.2,72.0,Moderate
2022-01-16,22.2,,
16,22.2,72.0,Moderate
2022-01-17,14.8,,
17,14.8,57.0,Moderate
2022-01-18,14.8,,
18,14.8,57.0,Moderate
2022-01-19,22.2,,
19,22.2,72.0,Moderate
2022-01-20,18.3,,
20,18.3,64.0,Moderate
2022-01-21,44.6,,
21,44.6,123.0,Unhealthy for Sensitive Groups
2022-01-22,33.5,,
22,33.5,96.0,Moderate
2022-01-23,14.8,,
23,14.8,57.0,Moderate
2022-01-24,13,,
24,13.0,53.0,Moderate
2022-01-25,11.1,,
25,11.1,46.0,Good
2022-01-26,11.1,,
26,11.1,46.0,Good
2022-01-27,14.8,,
27,14.8,57.0,Moderate
2022-01-28,14.8,,
28,14.8,57.0,Moderate
2022-01-29,18.3,,
29,18.3,64.0,Moderate
2022-01-30,18.3,,
30,18.3,64.0,Moderate
2022-01-31,18.3,,
31,18.3,64.0,Moderate
2022-01-,17.2,,
,17.2,62.0,Moderate
2022-02-1,13,,
1,13.0,53.0,Moderate
2022-02-2,22.2,,
2,22.2,72.0,Moderate
2022-02-3,18.3,,
3,18.3,64.0,Moderate
2022-02-4,18.3,,
4,18.3,64.0,Moderate
2022-02-5,14.8,,
5,14.8,57.0,Moderate
2022-02-6,18.3,,
6,18.3,64.0,Moderate
2022-02-7,14.8,,
7,14.8,57.0,Moderate
2022-02-8,11.1,,
8,11.1,46.0,Good
2022-02-9,18.3,,
9,18.3,64.0,Moderate
2022-02-10,11.1,,
10,11.1,46.0,Good
2022-02-11,18.3,,
11,18.3,64.0,Moderate
2022-02-12,14.8,,
12,14.8,57.0,Moderate
2022-02-13,14.8,,
13,14.8,57.0,Moderate
2022-02-14,18.3,,
14,18.3,64.0,Moderate
2022-02-15,11.1,,
15,11.1,46.0,Good
2022-02-16,18.3,,
16,18.3,64.0,Moderate
