Date,PM2.5,AQI,AQI-Bucket
2020-01-1,33.5,,
1,33.5,96.0,Moderate
2020-01-2,25.9,,
2,25.9,80.0,Moderate
2020-01-3,7.6,,
3,7.6,32.0,Good
2020-01-4,18.3,,
4,18.3,64.0,Moderate
2020-01-5,14.8,,
5,14.8,57.0,Moderate
2020-01-6,22.2,,
6,22.2,72.0,Moderate
2020-01-7,29.4,,
7,29.4,87.0,Moderate
2020-01-8,14.8,,
8,14.8,57.0,Moderate
2020-01-9,14.8,,
9,14.8,57.0,Moderate
2020-01-10,29.4,,
10,29.4,87.0,Moderate
2020-01-11,33.5,,
11,33.5,96.0,Moderate
2020-01-12,33.5,,
12,33.5,96.0,Moderate
2020-01-13,22.2,,
13,22.2,72.0,Moderate
2020-01-14,18.3,,
14,18.3,64.0,Moderate
2020-01-15,14.8,,
15,14.8,57.0,Moderate
2020-01-16,18.3,,
16,18.3,64.0,Moderate
2020-01-17,18.3,,
17,18.3,64.0,Moderate
2020-01-18,14.8,,
18,14.8,57.0,Moderate
2020-01-19,25.9,,
19,25.9,80.0,Moderate
2020-01-20,7.6,,
20,7.6,32.0,Good
2020-01-21,11.1,,
21,11.1,46.0,Good
2020-01-22,37,,
22,37.0,105.0,Unhealthy for Sensitive Groups
2020-01-23,29.4,,
23,29.4,87.0,Moderate
2020-01-24,14.8,,
24,14.8,57.0,Moderate
2020-01-25,18.3,,
25,18.3,64.0,Moderate
2020-01-26,14.8,,
26,14.8,57.0,Moderate
2020-01-27,40.7,,
27,40.7,114.0,Unhealthy for Sensitive Groups
2020-01-28,22.2,,
28,22.2,72.0,Moderate
2020-01-29,18.3,,
29,18.3,64.0,Moderate
2020-01-30,25.9,,
30,25.9,80.0,Moderate
2020-01-31,18.3,,
31,18.3,64.0,Moderate
2020-01-,21.6,,
,21.6,71.0,Moderate
2020-02-1,18.3,,
1,18.3,64.0,Moderate
2020-02-2,22.2,,
2,22.2,72.0,Moderate
2020-02-3,18.3,,
3,18.3,64.0,Moderate
2020-02-4,18.3,,
4,18.3,64.0,Moderate
2020-02-5,33.5,,
5,33.5,96.0,Moderate
2020-02-6,25.9,,
6,25.9,80.0,Moderate
2020-02-7,29.4,,
7,29.4,87.0,Moderate
2020-02-8,18.3,,
8,18.3,64.0,Moderate
2020-02-9,22.2,,
9,22.2,72.0,Moderate
2020-02-10,11.1,,
10,11.1,46.0,Good
2020-02-11,18.3,,
