T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
21.2,28.4,15.5,1017,39,4,5.7,10.7,13.15
21.1,27.5,15.5,1015.6,48,3.7,5.2,11.1,14.929166666666674
19.8,27.2,16.5,1015.6,48,3.7,9.1,11.1,19.350000000000005
18.4,24.8,15.5,1016.4,51,3.7,9.8,14.8,11.937499999999998
19.7,26.5,14,1016.4,44,3.4,7.8,10.7,18.749999999999996
19.2,25,15,1018.3,50,4,12,18.3,18.741666666666667
18.9,25,14,1018.2,43,3.7,6.7,14.8,23.6375
20.8,27.6,14,1018.2,45,4,8.3,11.1,22.470833333333328
19.5,25.6,13.5,1019.7,34,4,14.1,22.2,21.987499999999997
20.3,26.5,13.5,1018.4,33,4,6.7,14.8,19.98333333333333
19.3,27.6,11.5,1017.5,44,4,5.2,11.1,20.250000000000004
18.6,28,11.5,1016.1,46,3.7,3.7,11.1,20.920833333333334
21,28,12,1015.8,62,4,8.3,18.3,14.441666666666672
20.7,26.5,16,1017.2,63,3.7,3.5,7.2,12.179166666666669
22,26.8,15,1015.4,65,3.7,7.2,18.3,15.245833333333335
23.6,29.5,18,1011.2,74,3.5,10.9,22.2,12.233333333333334
20.8,26,16.5,1013.3,62,3.7,4.3,7.2,NA
20.5,27.7,15.5,1015.9,47,3.7,3.5,10.7,NA
21,28.2,14.5,1016.2,47,3.7,2.6,7.6,NA
21.6,26,17.5,1016.8,70,3.7,6.7,10.7,NA
23,28.5,18.5,1017,53,4,6.7,11.1,NA
22.3,27.9,17,1016.7,64,3.7,7.2,18.3,NA
21.3,27.9,15.5,1017.1,53,3.4,7.2,11.1,NA
19.6,26,13.5,1017.3,57,3.4,5.2,11.1,NA
20.3,26.5,14,1017.3,69,3.5,8.3,14.8,NA
21.1,26.6,16,1019.7,49,3.1,12.2,14.8,NA
20.9,27.2,16,1019.1,45,3.7,6.9,14.8,NA
21.6,26.1,15,1016.7,61,3.2,7.8,22.2,NA
24.3,29.5,18.5,1016.5,74,3.4,5.2,18.3,NA
23.2,28.5,18,1015.4,72,2.9,9.3,22.2,NA
23.8,28.7,18,1013.7,76,4,9.6,22.2,NA
23.9,30.6,19,1014.7,57,3.7,5,18.3,NA
23.3,27.8,19,1016.3,64,3.5,5.2,11.1,NA
21.4,26.4,17.5,1015.9,66,3.7,13,22.2,NA
19,22.1,17.5,1015.9,89,2.7,6.5,14.8,NA
20.4,24.4,17,1016.8,77,3.5,6.5,11.1,NA
21.3,25.1,17.5,1017.2,74,3.2,6.1,11.1,NA
21.2,25.5,17.5,1020.3,55,3.7,8.9,14.8,NA
20.7,26.5,15.5,1020.6,42,3.7,8.9,18.3,NA
21.2,28.2,13,1018.1,51,4,5.6,14.8,NA
21.9,28.8,14,1019.3,41,3.7,4.6,11.1,NA
22.3,29.4,16,1019.8,37,4,6.5,14.8,NA
22.5,29.5,16,1018.3,40,4,4.6,14.8,NA
21.4,25.8,17.5,1019.1,45,3.7,3.7,7.6,NA
22.1,29.7,15.2,1019.2,50,4,3.1,11.1,NA
22.2,30.9,14.5,1018.4,50,3.5,4.6,11.1,NA
22.8,32.1,14,1017.7,32,3.7,3.3,7.6,NA
23.7,32,14,1014.1,37,4,6.5,18.3,NA
24.6,28.5,15.5,1010.5,68,4,18.9,29.4,NA
25.3,28.5,21.5,1009.7,77,4,18,25.9,NA
24.8,30.2,20.5,1011.3,63,4,12,18.3,NA
24.6,30.1,20.5,1011.4,64,4,11.1,22.2,NA
24.2,30.5,19.5,1014.5,31,4,5.6,11.1,NA
22.1,29.4,15,1015.3,37,3.7,6.1,22.2,NA
22.7,31.9,14.5,1014.8,50,4,5.6,11.1,NA
23.3,29.9,16,1014.8,20,4,10.7,14.8,NA
23.6,30.1,16.5,1014.5,28,4,20.4,40.7,NA
21.7,27.3,17,1016.8,41,4,20,33.5,NA
24,30,17.5,1015.3,35,4,12.2,22.2,NA
25.7,32.4,17,1011.9,37,4,6.5,11.1,NA
21.2,24.5,18.5,1011.4,69,3.4,5.4,7.6,NA
18.3,22.3,14.8,1012.4,33,4,15.7,22.2,NA
18.2,25.1,13,1014.6,27,4,8.3,11.1,NA
19.3,26.2,11.1,1016.9,36,4,7,11.1,NA
21.4,26.7,13,1017.5,25,4,9.6,25.9,NA
22.1,28.5,14.5,1015.5,41,4,8.3,18.3,NA
24.1,29.5,16,1015,49,3.7,6.3,14.8,NA
23.8,31.1,16.5,1016.2,41,4,4.6,14.8,NA
25.1,32,17.3,1015.7,34,4,6.5,14.8,NA
24.9,30.1,19.5,1015.8,40,4,7.4,25.9,NA
25.1,31,18,1016.3,61,4,9.3,18.3,NA
25.7,31.7,19.5,1015.5,66,4,10.6,14.8,NA
26.4,32.2,22,1013.7,37,4,10.7,18.3,NA
25.4,32.1,20.2,1014.8,25,4,6.5,11.1,NA
26.5,33.5,17.5,1014.3,22,4,9.8,22.2,NA
27.2,34.7,18.5,1014,27,4,6.9,14.8,NA
27.9,36,18.8,1014.1,25,4,7.4,18.3,NA
28.1,37.1,19.4,1013.5,32,4,3.7,14.8,NA
28.2,37.5,21,1012.8,46,4,7.8,18.3,NA
27.3,36.2,20,1012.6,49,4,3.7,11.1,NA
28.8,35.2,20,1010.3,43,4,12,22.2,NA
27.9,34.5,24.4,1008.3,65,4,14.8,22.2,NA
27.5,32.1,25,1008.9,69,4,14.8,22.2,NA
29.8,36,24.5,1011.1,59,4,14.3,22.2,NA
29.5,33.5,24.6,1012.3,65,4,14.8,18.3,NA
